Customer_ID,Customer_Name,Customer_Phone,Customer_Email,Customer_Address,Region,Country,Customer_Satisfaction
1094,Customer 750,+1-942-195-9036,customer.750.78@sample.com,"946 Second St, Houston, USA",North,USA,Unsatisfied
1043,Customer 742,+1-294-368-4090,customer.742.67@sample.com,"764 Fourth St, Phoenix, USA",North,Canada,Satisfied
1029,Customer 97,+1-651-546-6758,customer.97.59@sample.com,"603 Park Ave, Houston, USA",South,Canada,Neutral
1010,Customer 858,+1-960-594-9813,customer.858.35@demo.com,"546 Main St, Phoenix, USA",East,Canada,Unsatisfied
1050,Customer 576,+1-349-545-8097,customer.576.61@demo.com,"910 Park Ave, Chicago, USA",South,Canada,Satisfied
1019,Customer 617,+1-702-454-2196,customer.617.90@sample.com,"766 Fourth St, Chicago, USA",North,Canada,Satisfied
1066,Customer 368,+1-468-754-2445,customer.368.61@sample.com,"121 Third St, Los Angeles, USA",East,USA,Satisfied
1015,Customer 477,+1-925-956-9167,customer.477.91@example.com,"525 Main St, Houston, USA",East,Canada,Neutral
1091,Customer 499,+1-171-212-9948,customer.499.44@demo.com,"550 Main St, Phoenix, USA",North,Mexico,Unsatisfied
1058,Customer 982,+1-382-572-9607,customer.982.1@example.com,"899 Main St, Los Angeles, USA",South,Mexico,Neutral
